Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Sum,Difference Sum,Absolute Difference Sum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
2,2,3,2,1,0,0,-1,1,1,0,1,3,2,3,30,18,20
1,2,0,0,-3,0,0,1,1,2,0,-1,3,2,3,39,10,18
,,,,,,,,,,,,,,,0,0,0
2,1,0,1,-1,0,2,0,0,2,0,1,3,2,3,34,14,16
3,1,0,2,-3,0,1,-1,1,1,0,1,3,3,3,35,12,20
,,,,,,,,,,,,,,,0,0,0
3,0,1,2,-1,0,2,-1,1,2,0,1,3,2,3,32,15,19
1,1,2,1,-3,0,0,-1,-1,2,0,1,3,2,2,40,9,19
,,,,,,,,,,,,,,,0,0,0
3,0,0,2,1,0,0,-1,0,2,0,0,3,2,3,35,12,14
2,0,0,2,-1,0,0,-1,-1,1,0,-1,3,2,3,41,7,15
,,,,,,,,,,,,,,,0,0,0
2,2,0,2,-1,0,0,-1,-1,1,0,1,3,2,3,37,11,17
2,1,0,2,-3,0,0,-1,-1,1,0,-1,2,2,3,43,5,17
,,,,,,,,,,,,,,,0,0,0
2,0,0,2,1,0,2,-1,1,2,0,0,3,2,3,33,15,17
2,2,0,1,-1,0,0,0,1,1,0,-1,3,3,3,36,12,16
,,,,,,,,,,,,,,,0,0,0
2,0,0,2,1,0,2,1,0,2,0,0,3,3,3,31,17,17
0,0,0,0,-1,0,1,-1,0,1,0,0,3,2,3,42,8,12
,,,,,,,,,,,,,,,0,0,0
2,2,0,2,-1,0,0,1,0,2,0,1,2,4,3,32,16,18
2,0,0,2,-3,0,0,-1,-1,1,0,0,3,2,3,42,6,16
,,,,,,,,,,,,,,,0,0,0
2,0,0,2,-1,0,1,0,1,1,0,1,3,2,3,35,13,15
2,1,0,2,-1,0,0,-1,-1,3,-1,0,2,2,3,39,9,17
,,,,,,,,,,,,,,,0,0,0
2,2,0,2,-1,0,0,1,0,3,0,0,3,3,3,32,16,18
2,2,0,2,-3,0,0,-1,-1,1,0,-1,2,2,3,42,6,18
,,,,,,,,,,,,,,,0,0,0
2,0,0,2,-1,0,2,-1,0,2,0,0,3,2,3,36,12,16
2,1,0,0,-1,0,0,-1,-1,1,0,-1,3,2,3,42,6,14
,,,,,,,,,,,,,,,0,0,0
2,2,0,2,-1,0,0,1,-1,2,0,1,3,2,3,34,14,18
2,2,0,2,-3,0,0,-1,-1,1,0,0,3,3,3,39,9,19
,,,,,,,,,,,,,,,0,0,0
2,0,0,2,-1,0,1,0,-1,3,0,1,3,2,3,35,13,17
2,1,0,,,,,,,,,,,,,12,1,1
