Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Sum,Difference Sum,Absolute Difference Sum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
1,1,0,0,0,1,2,0,-2,0,,,-1,2,3,34,6,12
,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,1,0,0,-1,-1,0,1,0,3,2,39,5,9
,,,,,,,,,,,,,,,0,0,0
0,1,0,0,0,1,2,0,1,-1,0,1,0,2,2,35,9,11
,,,,,,,,,,,,,,,0,0,0
0,4,0,0,0,2,2,0,-2,-1,0,1,-1,2,3,34,10,18
,,,,,,,,,,,,,,,0,0,0
0,0,0,0,0,2,2,0,-2,-1,0,1,0,3,2,37,7,13
,,,,,,,,,,,,,,,0,0,0
1,4,0,0,0,1,2,0,-1,-1,0,1,0,3,3,31,12,16
,,,,,,,,,,,,,,,0,0,0
0,4,0,0,0,1,1,0,-1,-1,0,1,0,2,3,34,10,14
,,,,,,,,,,,,,,,0,0,0
0,4,0,0,0,1,2,0,-1,-1,0,1,0,2,3,33,11,15
